wineId	country	description
8785	Greece	A blend of Xinomavro and the native grapes Krasato and Stavroto, this is an elegant wine showcasing aromas and flavors of plum, cherry, tobacco and violet. Mineral and coffee notes add to the poised character.
9141	Croatia	The lavors of candied red cherry and flower are pleasant, but dusty herb notes distract on the nose and palate. It's a big wine at 13.9% abv, but zesty acidity keeps it relatively balanced.
9345	Greece	Smoke, cedar and plum aromas are followed by a focused palate of pepper and berry flavors. Poised and sophisticated, this wine is great for fans of drier style reds.
9490	Greece	Currants, cherry and cocoa aromas give this Cabernet a luscious start. On the palate, a smoky wave of cherry, blackberry and cedar is both exotic and likeable. This is a tight wine but has appealing fruit accents.
9536	Greece	Intense aromas of lemon, grapefruit and mint lead this appealing white. On the palate, a fantastic balance of fresh citrus fruit and sea-salt minerality finishes with an herbal, earthy spin. Delicious on its own or paired with fish or chicken.
9681	Greece	A rich nose of cedar, balsamic, vanilla and spice leads this red from Greece. Black fruit, spice and tobacco on the palate is structured and serious. A balanced, cellarworthy wine with class.
9762	Hungary	This wine is made from 100% Furmint and has an intriguing bouquet of jasmine and lemon blossom. It is crisp and acidic on the palate with pleasant flavors of lemon zest and lime juice.
9812	Greece	Vanilla, citrus and white flowers on the nose lead this memorable white from mainland Greece. The overall character is linear and crisp, with lemon and limestone flavors interlaced with exotic fruits and rose. A wine with class and character that will offer diverse food pairing experiences.
9829	Hungary	Honeyed apricot and orange peel on the nose and palate typify this elegant but playful botrytis wine. The wine's lively acidity gives it a bounce on the tongue, adding dimension to the citrus components and lending it more to food pairing with desserts or a cheese plate.
10188	Hungary	Perfectly dry, yet bursting with pure, ripe red fruit, Sauska's rosé would be a refreshingly easy apéritif to be enjoyed anytime of the year. Made with a hefty dose of Blaufränkisch, it's clean and fresh on the palate with pretty wildflower notes and zippy sour cherry acidity.
10290	Slovenia	Vanilla and cookie crumb notes add a sweet, toasty flair to the sour cherry flavor on this bright, nervy red. The palate is tart, tangy and refreshingly tasty, with soft, chalky tannins that linger on the finish.
10301	Croatia	Fermented with indigenous yeast and then aged in French oak, this has rose and raspberry perfumes, with deep black-plum and berry flavors. Striking acidity and bold, angular tannins soften on the palate, revealing a smooth, luscious finish.
10477	Greece	Black pepper, crushed herbs and red raspberry fruit aromas give this elegant red a place at the dinner table. Red fruit, cedar and vanilla on the palate are balanced with soft acidity. Pair with smoked fish, cheeses and lamb.
10489	Greece	Bright red fruit, plum and spice aromas are followed by a combination of smoke, spice and red fruit on the palate. The wine is focused around cherry-fruit tones and overall shows good balance.
10992	Hungary	This dry white has apricot, peach and white floral scents and lemon curd and orange zest flavors. It's well balanced, with a creamy finish.
11153	Hungary	Hailing from the hilltop Határi vineyard, this wine has a delightful aroma of freshly picked lemons and grapefruit leaf. In the mouth, it is creamy and full bodied with flavors of white peach, lemon curd and grapefruit.
11258	Greece	This expressive red starts with aromas of raspberry, sour cherry and vanilla, leading into a medium-bodied, mouthfilling array of fruit, spice and a touch of sweetness. Balanced and structured, with an appealing spice backbone, this wine is an example of an indigenous red with true global appeal.
11764	Greece	This red is a hunting lodge in a glass, with aromas of leather, game, cigar and cedar on the nose, followed by flavors of blueberry, cigar box and vanilla on the palate. Pair this with earthy fare, such as steak, grilled duck or dried sausage.
11773	Greece	Sweet and tart notes—think maraschino cherry and citrus—start this opulent sip. Sweet-tasting cherry and strawberry flavors follow. Not overly complex, but a fun summer wine.
11784	Greece	Flavors of rose petal, cherry and a touch of spice characterize this rosé. A backbone of lively spice carries the sweet-tasting cherry flavors on the palate. Pair this with fruit salads or creamy cheeses.
12105	Greece	Toasted nut, rhubarb, pepper and spice box aromas abound on the nose of this plucky red. Black cherry, spice and pepper flavors follow. Clean, spicy and food friendly, this selection is ageable and assertive.
12194	Greece	This Greek Sauvignon Blanc is both fruity and dry with a crisp, fresh nose and simply good lemon and spice flavors. Clean with a medium body. A good everyday white for lighter dishes.
12338	Croatia	This garnet-colored wine conveys aromas of cranberry, black cherry and bramble. Flavors of dark cherry, cranberry and black plum have a strong acidic backbone and a long finish.
12419	Slovenia	A musky white-flower note melds into savory notes of hazelnut oil and nut skin on the nose and palate of this smoky, rather mysterious wine. Tart with tangerine acidity, it's refreshingly brisk but finishes long with a hint of smoky vanilla.
12420	Croatia	Though aromatically subdued, there's an intensity of tangerine and lime zest flavor in this dry, invigorating Malvasia. The midpalate is marked by elegant white-flower notes that linger on the slightly astringent lime-pith finish.
13726	Greece	Blueberry, vanilla and cedar aromas start this rich, luxuriant red. On the palate, savory cigarbox and caramel flavors meld with bright red fruits and sweet vanilla. The wine finishes dry and will pair beautifully with lamb and beef dishes.
13820	Greece	The nose on this soft red smacks of black cherry and spice, and the like flavors are smooth. Tannins are firm but the wine has a light touch overall. The finish has a spicy spin. Pair with lighter poultry dishes.
13908	Greece	Alluring aromas of ripe peach, grapefruit and lemon lead this stylish white. The wine offers integrated flavors of spicy citrus and lemon peel backed by a sea-salt salinity. Balanced and brisk but full of flavor, it's a great example of the elegance of this variety.
13945	Greece	The nose on this wine is exotic, offering smoke, vanilla, lemon curd and spice. On the palate, it's a fat wine with lots of peach, lemon, vanilla and wood, but the acidity keeps it balanced. A distinctive wine that speaks to its origin.
13971	Greece	Plum, spice and cedar lead this spicy red. The wine offers bright but balanced flavors of red and black cherry, cedar and warming spice. The finish has a clean, mineral edge. Pair this with strong cheeses and dried meats.
14155	Greece	Toasted nut, rhubarb, pepper and spice box aromas abound on the nose of this plucky red. Black cherry, spice and pepper flavors follow. Clean, spicy and food friendly, this selection is ageable and assertive.
14188	Croatia	Sure to please any wine-geek, this orange wine is a blend of seven grapes including Sauvignon Blanc, Vermentino, Reisling Italica, Glera, Fruilano, Pinot Gris and Pinot Blanc. It's aged for three years in large wooden vats and has aromas of dried nectarine, dried peach, apricot and freshly ground black pepper that lead to luscious flavors of apricot nectar and honeycomb.
14208	Hungary	Sauska's premiere bottling, the Cuvée 11 has a hefty dose of Cabernet Franc, giving it a distinct spice and bramble character. It's not a dainty wine at 15% abv, but the palate is clean with focused red fruit accented by fresh herbs and balanced tannins.
14428	Greece	Spicebox and lemon aromas start this assertive Assyrtiko from Crete. On the palate, ripe fruit and citrus mingle with a touch of allspice and mint, and the finish offers a suggestion of toast. Distinctive but not fully integrated.
14556	Greece	White flowers, lemon peel and vanilla lead this elegant white. Though the wine's tropical fruit flavors are forward, its minerality and spice give it grounding. This is a very good everyday white perfect for grilled chicken and heartier vegetable dishes.
14558	Greece	Grapefruit, lemon and star anise aromas lead this refined but friendly wine. On the palate, lush, rounded flavors of melon and tropical fruit are supported by brisk acidity. Great combination with richer poultry or pork dishes.
14840	Greece	This is a straightforward but tasty red with a nose of vanilla, herbs and blackberry. Flavors of tomato, herbs and blackberry are integrated and finish fresh. A good everyday pour with an exotic flair.
14846	Greece	This wine has an opulent nature, with layered toasted nut, lemon and orange spice aromas and flavors. On the palate, it's serious stuff, with honeyed flavors and an intense spice character. This is a great after-dinner sip or cohort to cheese.
15437	Slovenia	Aromas of freshly mowed grass, lemon pith, and lemon grass open for mineral-driven flavors of Bartlett pear, lemon juice and green apple in the midpalate.
15474	Greece	This elegant Chardonnay offers aromas of pear, citrus fruits and toast on the nose, with flavors of tropical fruit and lemon rind following. Its oak treatment is balanced by minerality and focus. A refined white with exotic character.
15708	Greece	Notes of cola, black pepper and cocoa on the nose are followed by touches of red cherry, cedar and spice in this elegant red. It has a dry, sophisticated character but good red fruit roundness to balance the package.
15713	Greece	Cedar, tobacco and mint aromas are followed by vibrant flavors of violet, red berry and black pepper in this elegant blend of Syrah, Merlot and Xinomavro. Dry and spicy but rounded by softer fruit, it's a very good red with exotic appeal.
16189	Croatia	Heady aromas of lemon blossom, jasmine and orange peel draw you into the glass. A crisp backbone of lime zest is supported by healthy minerality and a refreshing finish.
16195	Croatia	An aromatic mélange of lemon custard, apple pie and salted caramel intrigue your nose while crisp flavors of lemon rind, citrus zest and grapefruit delight your palate. Pair this wine with freshly shucked oysters on a warm summer's day.
16461	Croatia	Rich with butter, cream and caramel popcorn, this Croatian blend of Malvasia and Chardonnay with a hefty dose of new French oak is luscious both on the nose and palate. Savory in style with hints of salted butter, it's an interesting example of Croatian wine made in a decidedly international style.
16812	Slovenia	Delicate on the attack, with gentle orange blossom and honeyed lemon flavors, this mineral-driven Pinot Grigio builds in intensity and tangerine fruitiness on the palate. It finishes crisp, with tonic lime pith and herb notes.
16822	Croatia	White peach and flower petal notes on the nose gain rich honeydew and fresh herb flavors on the palate of this refreshing, concentrated Malvasia. Bright acidity and a lovely saline touch keep the finish brisk and balanced.
16871	Greece	A soft, fragrant nose of balsam, spice and cherry unfolds into integrated red berry and spice flavors on this poised red. Approachable yet elegant, the wine offers slight smoke and pepper on the palate which would pair it well with grilled or roasted meat.
16884	Greece	Cheerful, light white aromas of citrus—lemon and orange mainly—lead on this white blend from Patras. On the palate, it's refreshing but offers some depth in its lemon and orange muscat flavors. Simple but appealing, and at an excellent price.
17194	Greece	The terse nature of Assyrtico finds a friend in oak when properly administered, as this wine exhibits. On the nose, citrus and mineral harmoniously mingle with spice and toast. On the palate, the wine retains its bright lemon and citrus flavors but is given extra body through the subtle oak. A lovely wine with a clean finish.
17243	Greece	Grapefruit, flowers and peach aromas and flavors are the hallmarks of this distinctive white. The wine offers clean fruit flavors and a soft finish. Good with seafood and fruit salads.
17259	Greece	Dried herbs, spicebox and cherry on the nose show this red means business. Masculine flavors of cigarbox, black fruit and vanilla give it a serious edge. The wine's character is rich, but a dry acidity keeps it focused. Pair with red meat, hearty fish.
17262	Greece	The Rapsani Reserve starts with aromas of bitter cocoa, leather and tobacco, leading into savory sips of plum, chocolate, pepper and cinnamon. Intense and assertive, this wine will offer more generous black fruit as it ages. A serious wine that pairs with robust meat dishes.
17264	Greece	Fresh fruit, peach, vanilla and melon leads this likeable blend of Sauvignon Blanc and Roditis. Good, racy freshness and citrus and a touch of slate give the wine a perky character. Delicious with seafood, fresh cheeses and fruit.
17485	Greece	Citrus, peach and rose aromas start this refined white. On the palate, it's a balance of tropical fruit, herbs and a clean, saline finish. Crisp but full of character, this is a very good and versatile white for the table.
17492	Greece	This rosé starts with scents of anise, pepper and spice, followed by an earthy array of spice and cranberry and cherry flavors. Exotic but refined, the wine will pair well with aged cheeses and beef.
17580	Greece	Allspice and plum aromas are followed by flavors of vanilla, dark cherry, smoke and cocoa in this young but friendly red from the north. Fine tannins and an elegant herbal finish give the wine finesse. A good entree into Greek reds for myriad palates.
18070	Slovenia	This Slovenian Ribolla Gialla has aromas of peach and vanilla, with flavors of freshly baked peach pie, canned apricots and green apple. It is soft on entry, rounded in the mouth and shows good minerality on the finish.
18151	Greece	This vivacious white is a beach pour with class. Fresh lemon zest and floral aromas and a combination of white fruit, minerals and citrus on the palate are lively and light, but the wine has some weight behind it.
18217	Croatia	Indulgently rich on the nose and palate, this intensely concentrated blend of Cab and Syrah is full of ripe black fruit that melts into a coffee and chocolate-inflected midpalate. It's not a dainty wine at 13.7% abv, but velvety tannins, brisk acidity and an earthy forest floor note on the finish adds balance and complexity.
18226	Croatia	While softly smoky on the nose and palate, this honey-kissed Traminer is gorgeously perfumed with notes of orange blossoms and waxy white florals. Lusciously mouth quenching with a pithy, citrus-flavored mid-palate, it finishes on a tasty lime juice and white pepper note.
18227	Croatia	Yellow freesias, fresh apples and quince preserves perfume this lovely, medium-bodied Malvasia from Istria. Dry on the palate yet elegantly fruity, it balances bright, fresh apple and tangerine flavors with nervy acidity and a lemon pith astringency on the finish.
18270	Croatia	Fresh and fragrant, this offers notes of apple, vanilla spice and lemon rind on the nose and palate. The palate of this Croatian white feels surprisingly voluptuous. Dry in style, with penetrating fruit flavors, this has lavish minerality on the midpalate that lends the finish a brisk, crisp feel.
18589	Greece	Smoked sausage, mushroom and clove aromas lead this big, spicy red. Chewy on the palate, it offers flavors of smoke, pepper and leathery spice. Pair it with grilled meats, spiced stews or robust cheeses.
18595	Greece	This Syrah-Xinomavro blend offers notes of clove and blueberry on the nose, followed by flavors of smoked meat, black fruit and cedar on the palate. It feels big, and it finishes with a clean, spirited flourish.
18599	Greece	Mint, cedar and clove aromas are followed by pepper, clove and black fruit flavors. It's not overly complex, but it offers distinctive indigenous character, and it will pair nicely with grilled meat.
19289	Croatia	Bright and clean with freshly pressed apples and pears on the nose, this is an easy-quaffing, medium-bodied Croatian Malvasia to pair with seafood and other light fare. Luscious on the palate with a rich, toasted hazelnut note, it's balanced by a lemony acidity and a brisk minerality throughout.
19434	Greece	This earthy red starts with aromas of cedar, smoke and pepper, followed by flavors of red berries, smoke and minerals. A dry and peppery backbone fishes clean on the tongue. Spunky and fun.
19445	Greece	This subtle, elegant sip starts with aromas of spicebox, tobacco and rich dark fruit, followed by flavors of cherry, cedar and cinnamon spice. A softer style, integrated red that will pair well with duck, steak.
19785	Greece	This blend of Roditis and Viognier starts with aromas of fresh lemon blossom, sea salt and jasmine, leading into a nimble and delicate array of citrus and spice on the palate. Clean and focused but with a curvaceous edge.
20458	Greece	This pert, dry red has a nose of cinnamon, clove and red berries while the palate offers dried cherry, plum and pepper. A good everyday red to pair with grilled meats and cheeses.
20763	Greece	This blend of Savatiano and Roditis is very popular in Greece and perhaps a bit too exotic for mainstream palates, but it's easy drinking and priced well. Aromas of citrus and melon are followed by peach and honeydew melon flavors. Simple but friendly.
20765	Greece	This wine has an element of candied watermelon and cherry in the aromas that gives it a rocky start, but on the palate, bright cherry, watermelon and spice are a bit more becoming. A simple wine with a fruity kick.
20778	Greece	Aromas of sea salt, pineapple and citrus start this lively Assyrtiko. It offers a fresh mineral character rounded by tropical fruit. Friendly and not fussy.
20855	Greece	Brisk and fruity but with a distinctive note of spice and pear, this Moschofilero offers approachable, ripe-fruit expression with an exotic edge. Pair with grilled seafood, Chinese cuisine or fruit salad.
20858	Greece	Orange, lemon, vanilla and white flower start this fresh and spicy white. Fruity, but balanced by a lime and wet stone base, the wine is elegant and food friendly.
21228	Croatia	There's so much nuance and complexity in this rustic yet fascinating Croatian wine, that it takes a while to break down its components. Initial scents of dried leaves and mulch blow off to reveal an array of delicate floral and fruit aromas, accented by rich chocolate and vanilla notes. Big in both alcohol and structure, its massively tannic, but smoothes out with aeration. Decant to drink now, but could easily evolve for 5–10 years.
21801	Slovenia	Crafted in an oxidative style, this wine is light brown to the eye, with aromas of toasted nuts and caramelized pineapple. Flavors of hazelnut, toasted almond and lemon sorbet continue through the smooth finish that ends on a zesty note.
22027	Hungary	This red blend from Hungary is garnet in color with aromas of cranberry and black cherry. Flavors suggest tart cherry and pomegranate juice, with grippy tannins and an acidic finish.
22388	Croatia	Aromas of white peach, nectarine and vanilla bean join fresh fruit flavors backed by nuances of caramel, vanilla and crème brûlée. There's nice round mouthfeel and a creamy yet clean finish.
22970	Hungary	Intense notes of white flower and lemon peel perfume this lovely aromatic white. Dry on the palate, with tart tangerine and lime flavors, it is marked by hints of blossom and zesty lime pith. Crisp and tonic on the finish. Drink now.
23662	Greece	Fresh, clean and elegant aromas of citrus and flowers start this classic Assyrtiko. On the palate, balanced flavors of lemon, sea salt and white fruits offer food-friendly, quaffable character. A fantastic house wine.
23868	Greece	A blend of Cabernet, Merlot and Limnio, this is a Bordeaux-like blend offering aromas of clove, mint and blueberry, and black fruit flavors. An elegant and integrated balance of fruit, wooded spice and acid gives the medium-bodied sip ageability. Paired with game or more complex red meat dishes, this blend is a classy alternative from an exotic locale.
24119	Greece	This red has a plummy, juicy nose that leads into a fresh, tart blend of cherry and strawberry. Fresh and fruity, it's an approachable red with added character.
24208	Croatia	Cranberry, pomegranate and a touch of bramble are found in the nose. The palate reveals fresh fruit flavors of sour red cherry, cranberry and red plum with a pleasant acidic backbone. Drink now or hold through 2016.
24215	Croatia	From the village of Sisan in southern Istria, this wine has enticing notes of lemon blossom, Mediterranean herbs and white peach in its bouquet. In the mouth crisp acidity accompanies flavors of lemon curd and Granny Smith apple. A clean finish invites you in for another sip.
24279	Greece	The nose on this white appeals from the get-go. Elegant waves of lemon, orange blossom and peach aromas are followed by a balanced but luxurious blend of pear, peach and white flowers on the palate. Big but pretty.
24313	Greece	Subtle lemon spice and minerals on the nose lead into flavors of fresh lemon and orange, flowers and a touch of honeyed spice. The finish is spicy with a touch of bitter orange rind. A pretty wine with a refreshing character.
24320	Greece	The nose on this red dessert wine is intriguing, with its combination of floral freshness and cedar and tobacco spice. On the palate, it has a heavier hand, with dried fruit, raisin and tobacco flavors. A richer sip with a masculine edge.
24328	Greece	Smoke, cherry and blackberry aromas start this spicy, exotic Syrah. Jerk chicken and dry rubbing spice are the lead notes on the palate—think spicy, spiky and vibrant. The wine could use more fruit to round out the edges, but overall, it's a good everyday sip.
24335	Greece	This Cabernet-Agiorgitiko blend has a big personality, starting with aromas of chocolate-covered cherry, rich black fruit and pepper. Red and black fruit, spice and a touch of flowers on the palate are buoyed by a fresh acidity and chalkiness on the palate. A touch spicy and fiery, but a fun wine with character.
24823	Greece	This wine has a banana and lemon character on the nose, followed by complex layers of vanilla, citrus and pineapple. Good mineral balance gives tis fuller bodied wine balance. A pretty white with gravitas?pair with poultry and cheese.
24830	Greece	Lemon and pineapple aromas start this full-bodied but friendly pour from the Peloponnese. Citrus, sea salt and a mineral finish give the wine elegance and a versatile food character.
24870	Hungary	While ebulliently floral and fruity with notes of orange blossom and white peach, a bracing hit of lemon balm and lime zest make this bright, brisk Grüner Veltliner especially refreshing. It lingers long on the palate with a bristling minerality.
25460	Greece	A nose of lemon, tropical fruit and flowers gives this vibrant Chardonnay from Chateau Julia a clean start. Lively with fresh fruit and floral flavors, it's crisp with depth. A great food wine—or one to sip alone.
25461	Greece	A blend of 50% Sauvignon Blanc and 50% Roditis, this refreshing white starts with aromas of citrus and peach, followed by crisp flavors of lemon backed by a lively acidity. Rich but clean. Pair with shellfish, meaty white fish.
25513	Croatia	Hailing from Korcula, the birthplace of Marco Polo, this Croatian white has aromas of lemon preserves and caramelized pineapple. There are flavors of dried apricot and vanilla on the entry, with a burst of green apple in the midpalate.
25822	Hungary	Aromas of caramelized pineapple, honey and acacia flower prepare your palate for luscious flavors of dried apricot, fresh mango, papaya and just-cut pineapple chunks. It has great acidity and elegant sweetness. Drink now or hold for 10 years.
25841	Slovenia	Honey and orange rind notes meld with a hint of waxy lanolin on this richly textured white wine. Savory hints of smoke and black tea are balanced with a touch of bright citrus rind and a delicate salinity that lingers on the finish.
25929	Croatia	Waxy notes of white flower and orange peel persist on the nose and palate of this bold, invigorating wine. Dry and full bodied, it's structured and concentrated, but it finishes crisply with hints of tart tangerine and hazelnut skin.
26090	Greece	Fresh and versatile, this Cabernet-Merlot blend offers a balanced interplay of spice, pepper and red fruit notes. The cherry, raspberry, leather and cedar flavors will pair well with tomato-based dishes, grilled meats and stews.
26091	Greece	A nose of peach, spice and citrus notes leads this light and lively white made from Roditis and Sauvignon Blanc. Lean but likeable, it offers a lemon overtone on the palate and a fresh, spicy finish. Pair it with grilled seafood, Thai dishes or cold chicken salads.
26102	Hungary	This opulent wine, with its honeyed apricot and resiny flavors, is layered with wood and spice, giving it extra life. It also has a hint of mocha—an earthiness that adds weight but not heaviness to the overall character. Poised and pretty, but also substantial.
26610	Croatia	A whopping 15.1% abv, this Plavac Mali (an ancestor of Zin) is certainly on the big and brawny side, but also reveals a complexity that evolves dramatically in the glass. Aromas of sun-dried hay and grass are prevalent through the nose and palate, adding a rustic quality to the sweet and spicy red fruit, fig and toast characteristics. The long finish is marked by an assertive show of tannins.
27296	Croatia	Aromas of cherry cola, brown baking spices, and cinnamon lead to flavors of black cherry, black plum conserves, and dried mission figs. There's a nice level of acidity and a persistent tannic finish.
27876	Greece	This is a distinctive white with a combination of spice, tropical fruit and a chalky backbone. The wine is elegant and ageable and will appeal to fans of classic French whites like Chablis. Pair with grilled octopus or oysters for added appeal.
